lsoa11cd,sqm_lsoa,sqm_green
E01008288,377866.7026,54036.734
E01008289,369438.5735,9921.731465
E01008290,579663.6078,93275.11471
E01008291,585404.1093,132911.7741
E01008292,210038.701,22963.27758
E01008293,677056.8315,10161.18801
E01008294,372875.8304,1772.61175
E01008295,604240.8522,86199.11124
E01008296,347340.715,78872.54017
E01008297,351295.5105,50073.86032
E01008298,346053.311,1121.651204
E01008299,270092.7789,792.5828495
E01008300,341580.57,71786.549
E01008301,615904.9771,135776.7073
E01008302,270291.6123,1651.621703
E01008303,336641.0632,9216.598398
E01008304,519288.7337,53597.93512
E01008305,448471.3293,21164.27739
E01008306,12633667.6,62909.86575
E01008307,3618358.869,78556.57191
E01008308,4046265.777,15395.50138
E01008309,375355.3753,6412.346211
E01008311,598696.53,1432.084162
E01008312,266198.375,55502.56073
E01008313,246738.2321,54129.99065
E01008314,442714.2278,167931.1099
E01008315,425710.1914,8616.743972
E01008316,231042.1952,26593.63949
E01008317,474835.8826,169146.9556
E01008318,188395.5782,18134.91153
E01008319,665760.1701,178088.6776
E01008320,407928.434,37213.36365
E01008321,837000.1019,184051.2954
E01008322,295866.6403,76.72574798
E01008323,325072.4255,62701.784
E01008324,223237.0735,16724.48868
E01008325,448947.5706,13027.40759
E01008327,289161.1875,5265.871009
E01008328,398179.8543,2172.096904
E01008329,276197.9951,13164.4854
E01008331,198717.8929,6645.564828
E01008332,192493.8788,3910.002156
E01008333,288059.6491,792.5658841
E01008334,280443.5775,10693.06932
E01008335,177740.6014,860.1761014
E01008337,233251.6569,2619.079794
E01008339,369669.6802,9676.058232
E01008340,226650.6121,41103.25397
E01008341,211641.2604,29524.34997
E01008342,343176.663,6357.940778
E01008343,351612.3372,84336.45292
E01008344,456973.8765,92275.57992
E01008345,355123.6382,5737.325154
E01008346,243376.0125,3818.372475
E01008347,222919.6311,4116.590845
E01008348,234954.4335,754.7242182
E01008349,199983.1133,23626.79192
E01008350,360972.9141,37321.32417
E01008351,525201.1775,100043.567
E01008352,985801.5165,789670.4904
E01008353,312716.2634,9712.419816
E01008354,306492.5613,36510.51411
E01008355,315502.2349,5705.114609
E01008356,383567.8727,5670.397209
E01008357,710954.9295,88102.55768
E01008358,664155.7919,58047.58584
E01008360,246743.8537,48957.2971
E01008363,438116.7411,76987.53676
E01008365,268768.0863,62374.40822
E01008366,197374.4179,6697.815211
E01008367,267813.0092,68073.94301
E01008369,436065.0459,188528.548
E01008370,405648.5933,37425.66021
E01008371,457113.2566,37223.62143
E01008372,127976.2399,3680.650216
E01008374,256498.1331,3560.96063
E01008375,431073.2803,9.382277892
E01008377,362483.0134,748.1610512
E01008378,319814.9247,2887.461755
E01008379,921627.4199,209701.1522
E01008380,697688.1244,290809.7424
E01008381,730482.6293,69662.55711
E01008382,259191.532,26875.73566
E01008383,351508.9339,35574.44629
E01008384,371064.8034,4609.581062
E01008385,256462.6023,45739.78503
E01008387,1865692.789,5946.534351
E01008388,197623.9345,743.6801754
E01008389,250258.7337,130.353561
E01008390,337642.3368,57812.50213
E01008391,243527.3061,787.5721771
E01008392,980318.2004,7898.010408
E01008394,71072.6406,583.5503317
E01008395,1804480.777,1249708.593
E01008396,267720.2609,110013.9648
E01008397,1373394.485,343523.3725
E01008398,124412.366,1841.300236
E01008399,238380.0582,4735.735025
E01008400,1982141.565,686799.3206
E01008401,389867.5301,3813.631256
E01008402,2124152.878,35132.77278
E01008403,964469.3472,18877.94221
E01008404,685296.9644,29907.53389
E01008405,805221.3064,33925.41711
E01008406,317317.405,41633.83652
E01008409,266570.2025,52568.05044
E01008410,470259.3105,243930.2914
E01008411,157879.7273,43922.48107
E01008412,166905.7627,35993.48526
E01008415,737527.3599,111310.1537
E01008418,365277.4502,19905.26461
E01008419,321212.6951,59980.53548
E01008420,258687.1686,8988.896525
E01008421,221424.5872,7869.465433
E01008422,392928.8811,121872.1961
E01008423,508325.0696,97286.76514
E01008424,203640.516,21604.7736
E01008425,743015.6252,54380.31592
E01008426,236263.135,39628.9765
E01008427,803024.2317,202618.2009
E01008428,292038.982,67784.17277
E01008429,416082.4338,110527.2556
E01008432,322220.7639,11511.69812
E01008433,546655.9883,132709.0142
E01008434,234352.9454,4485.389862
E01008435,248059.2746,41999.11883
E01008436,777211.5339,72017.73152
E01008437,1177267.93,58225.87314
E01008438,693143.8676,12936.31037
E01008439,292960.1917,16405.86458
E01008441,365668.8987,44850.26342
E01008444,524810.1848,117632.3309
E01008445,416572.7226,2498.938004
E01008447,321640.6771,7663.172263
E01008448,702009.9291,2708.701083
E01008451,243275.5304,1299.570002
E01008452,497113.881,239973.6397
E01008453,379047.3184,96657.47787
E01008456,278542.8024,55536.25947
E01008457,423089.5289,80293.39258
E01008458,15599664.01,780701.2778
E01008459,324434.4234,595.652025
E01008460,572086.2691,493.5200307
E01008513,626372.5226,3409.447889
E01008516,747743.5142,0.502623854
E01008531,700216.5769,824.3797946
E01008535,1005611.485,900137.8907
E01008577,4260402.824,513.0005156
E01008580,262263.7486,118.9637211
E01008581,584126.9654,12948.86941
E01027449,18845035.49,118992.3522
E01033543,470537.2232,5351.943269
E01033545,581880.4441,2051.529993
E01033547,1161991.162,30544.75185
E01033548,326225.5916,88.14250015
E01033550,667680.9697,772.9437826
E01033551,4659999.088,1547053.334
E01033554,288267.7971,1845.740401
E01033556,487574.2056,224448.9771
